MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
[CHP2004] J122942.3+080008,12 29 42.3,+08 00 08,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[GLK96]  4541,12 29 54.22,+08 00 10.3,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
CXOMKZ J1229542+080010,12 29 54.2,+08 00 10,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4618955+8.0026870,12 29 50.87,+08 00 09.5,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[CHP2004] J122950.9+080010,12 29 50.9,+08 00 10,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4092384+8.0034247,12 29 38.2172,+08 00 12.329,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
CXOMKZ J1229382+080013,12 29 38.2,+08 00 13,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
CXOMKZ J1229470+080013,12 29 47.0,+08 00 13,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122950.4+080014,12 29 50.4,+08 00 14,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4599436+8.0037423,12 29 50.41,+08 00 13.3,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[JPB2009] 187.4232498+8.0039230,12 29 41.5800,+08 00 14.123,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122941.6+080014,12 29 41.6,+08 00 14,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229453+080017,12 29 45.3,+08 00 17,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
CXOMKZ J1229498+080026,12 29 49.8,+08 00 26,X,2003ApJ...586..814M,X,2003ApJ...586..814M
[CHP2004] J122947.7+080027,12 29 47.7,+08 00 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122938.3+080030,12 29 38.3,+08 00 30,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[GLK96]  4852,12 29 56.33,+08 00 31.1,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
[CHP2004] J122956.4+080030,12 29 56.4,+08 00 30,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.3938163+8.0089570,12 29 34.5159,+08 00 32.245,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[SGT2004] J122934.49+080032.3,12 29 34.49,+08 00 32.3,,2004ApJS..154..519S,XB,2004ApJS..154..519S
[JPB2009] 187.4293089+8.0109660,12 29 43.05,+08 00 39.5,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[CHP2004] J122943.0+080040,12 29 43.0,+08 00 40,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4323558+8.0113186,12 29 43.78,+08 00 40.7,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
[CHP2004] J122943.8+080041,12 29 43.8,+08 00 41,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122944.2+080042,12 29 44.2,+08 00 42,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4340514+8.0115934,12 29 44.19,+08 00 41.7,O,2009ApJ...690..512H,XB,2009ApJ...690..512H
CXOMKZ J1229350+080049,12 29 35.0,+08 00 49,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122943.6+080052,12 29 43.6,+08 00 52,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229314+080055,12 29 31.4,+08 00 55,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4549270+8.0154135,12 29 49.21,+08 00 55.3,O,2009ApJ...690..512H,GlCl,2009ApJ...690..512H
CXOMKZ J1229543+080058,12 29 54.3,+08 00 58,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[CHP2004] J122948.2+080059,12 29 48.2,+08 00 59,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122945.6+080059,12 29 45.6,+08 00 59,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229416+080103,12 29 41.6,+08 01 03,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
[JPB2009] 187.4691144+8.0192643,12 29 52.5875,+08 01 09.351,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122952.6+080109,12 29 52.6,+08 01 09,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4333661+8.0209044,12 29 44.0079,+08 01 15.256,O,2009ApJS..180...54J,GlCl,2009ApJS..180...54J
[CHP2004] J122945.9+080127,12 29 45.9,+08 01 27,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[JPB2009] 187.4412035+8.0241273,12 29 45.8888,+08 01 26.858,O,2009ApJS..180...54J,GlCl?,2009ApJS..180...54J
[CHP2004] J122945.7+080129,12 29 45.7,+08 01 29,X,2004ApJ...602..231C,X,2004ApJ...602..231C
